Date,Price,Open,High,Low,Vol.,Change %,Index
2022-12-20,2192.9,2189.5,2203.9,2167.5,425.11M,0.16,Technology
2022-12-21,2229.7,2192.9,2239.5,2192.9,419.31M,1.68,Technology
2022-12-22,2173.0,2229.7,2229.7,2136.9,556.73M,-2.54,Technology
2022-12-23,2175.5,2173.0,2177.4,2142.3,327.81M,0.12,Technology
2022-12-27,2154.4,2175.5,2175.5,2142.3,351.83M,-0.97,Technology
2022-12-28,2119.0,2154.4,2168.6,2117.2,345.84M,-1.64,Technology
2022-12-29,2174.9,2119.0,2181.6,2119.0,368.69M,2.64,Technology
2022-12-30,2172.2,2174.9,2174.9,2139.4,343.91M,-0.13,Technology
2023-01-03,2150.3,2172.2,2209.3,2135.6,480.56M,-1.01,Technology
2023-01-04,2155.8,2150.3,2169.9,2131.9,514.10M,0.26,Technology
2023-01-05,2113.6,2155.8,2155.8,2110.4,462.51M,-1.96,Technology
2023-01-06,2176.9,2113.6,2185.9,2108.9,520.60M,2.99,Technology
2023-01-09,2200.6,2176.9,2241.4,2176.9,499.69M,1.09,Technology
2023-01-10,2214.1,2200.6,2217.4,2184.1,390.40M,0.61,Technology
2023-01-11,2253.0,2214.1,2253.1,2214.1,417.29M,1.75,Technology
2023-01-12,2269.3,2253.0,2279.6,2229.6,475.65M,0.72,Technology
2023-01-13,2277.0,2269.3,2279.2,2242.8,390.16M,0.34,Technology
2023-01-17,2286.9,2277.0,2300.2,2270.8,443.84M,0.44,Technology
2023-01-18,2257.6,2286.9,2312.4,2256.2,448.03M,-1.28,Technology
2023-01-19,2231.8,2257.6,2257.6,2223.5,435.81M,-1.14,Technology
2023-01-20,2292.5,2231.8,2293.0,2231.8,495.21M,2.72,Technology
2023-01-23,2344.8,2292.5,2357.5,2292.5,556.92M,2.28,Technology
2023-01-24,2343.9,2344.8,2351.1,2326.7,419.59M,-0.04,Technology
2023-01-25,2337.7,2343.9,2344.2,2282.8,460.18M,-0.26,Technology
2023-01-26,2375.4,2337.7,2376.5,2337.6,474.90M,1.61,Technology
2023-01-27,2385.9,2375.4,2402.8,2361.1,577.58M,0.44,Technology
2023-01-30,2339.6,2385.9,2385.9,2338.3,462.87M,-1.94,Technology
2023-01-31,2373.3,2339.6,2373.4,2339.1,536.64M,1.44,Technology
2023-02-01,2427.7,2373.3,2446.5,2360.5,677.88M,2.29,Technology
2023-02-02,2495.3,2427.7,2508.1,2427.7,664.36M,2.78,Technology
2023-02-03,2475.3,2495.3,2515.4,2450.4,585.49M,-0.8,Technology
2023-02-06,2445.0,2475.3,2475.3,2436.2,458.49M,-1.22,Technology
2023-02-07,2505.3,2445.0,2514.5,2445.0,560.36M,2.46,Technology
2023-02-08,2473.9,2505.3,2523.4,2469.9,506.70M,-1.25,Technology
2023-02-09,2461.5,2473.9,2516.3,2451.4,488.35M,-0.5,Technology
2023-02-10,2448.0,2461.5,2461.5,2425.9,457.83M,-0.55,Technology
2023-02-13,2491.5,2448.0,2496.4,2448.0,452.86M,1.77,Technology
2023-02-14,2502.3,2491.5,2514.9,2464.5,471.54M,0.44,Technology
2023-02-15,2511.9,2502.3,2512.4,2480.3,412.52M,0.38,Technology
2023-02-16,2467.9,2511.9,2511.9,2467.1,460.20M,-1.75,Technology
2023-02-17,2438.4,2467.9,2467.9,2416.7,426.36M,-1.19,Technology
2023-02-21,2379.9,2438.4,2438.4,2378.1,461.78M,-2.4,Technology
2023-02-22,2376.5,2379.9,2395.4,2365.6,454.63M,-0.14,Technology
2023-02-23,2415.2,2376.5,2423.9,2376.5,537.87M,1.63,Technology
2023-02-24,2372.4,2415.2,2415.2,2358.9,442.39M,-1.77,Technology
2023-02-27,2384.7,2372.4,2407.7,2372.4,374.96M,0.52,Technology
2023-02-28,2380.3,2384.7,2402.6,2373.6,443.47M,-0.19,Technology
2023-03-01,2360.9,2380.3,2383.6,2355.1,426.44M,-0.81,Technology
2023-03-02,2390.7,2360.9,2398.0,2351.4,463.56M,1.26,Technology
2023-03-03,2441.8,2390.7,2442.6,2390.7,449.86M,2.14,Technology
2023-03-06,2454.9,2441.8,2488.0,2441.8,455.26M,0.53,Technology
2023-03-07,2423.8,2454.9,2461.8,2418.2,446.13M,-1.26,Technology
2023-03-08,2444.2,2423.8,2447.2,2419.9,408.82M,0.84,Technology
2023-03-09,2408.9,2444.2,2475.0,2404.9,482.55M,-1.45,Technology
2023-03-10,2367.0,2408.9,2411.2,2357.7,546.21M,-1.74,Technology
2023-03-13,2380.0,2367.0,2412.3,2338.0,563.92M,0.55,Technology
2023-03-14,2434.6,2380.0,2443.0,2380.0,531.79M,2.29,Technology
2023-03-15,2435.2,2434.6,2438.4,2396.4,579.84M,0.03,Technology
2023-03-16,2503.8,2434.8,2507.0,2419.6,662.13M,2.82,Technology
2023-03-17,2501.0,2503.8,2529.6,2486.0,950.62M,-0.11,Technology
2023-03-20,2506.7,2501.0,2510.1,2476.2,481.18M,0.23,Technology
2023-03-21,2527.6,2506.7,2531.6,2493.4,491.97M,0.83,Technology
2023-03-22,2504.4,2527.6,2580.7,2504.2,521.74M,-0.92,Technology
2023-03-23,2545.8,2504.4,2579.4,2504.4,489.09M,1.65,Technology
2023-03-24,2552.0,2545.8,2552.6,2520.5,431.56M,0.25,Technology
2023-03-27,2530.3,2552.0,2563.6,2524.6,391.40M,-0.85,Technology
2023-03-28,2518.8,2530.3,2530.3,2495.4,359.95M,-0.46,Technology
2023-03-29,2571.5,2518.8,2576.5,2518.8,472.75M,2.09,Technology
2023-03-30,2600.9,2571.5,2604.3,2571.5,413.26M,1.14,Technology
2023-03-31,2639.0,2600.9,2640.9,2594.5,467.23M,1.47,Technology
2023-04-03,2637.8,2639.0,2639.6,2611.0,407.66M,-0.05,Technology
2023-04-04,2622.4,2637.8,2648.8,2612.2,374.76M,-0.58,Technology
2023-04-05,2591.2,2615.0,2615.0,2571.4,391.34M,-1.19,Technology
2023-04-06,2608.8,2591.2,2611.6,2561.9,346.27M,0.68,Technology
2023-04-10,2604.9,2608.8,2608.8,2565.1,367.92M,-0.15,Technology
2023-04-11,2578.0,2604.9,2604.9,2574.2,329.25M,-1.03,Technology
2023-04-12,2562.3,2578.0,2602.5,2558.6,364.91M,-0.61,Technology
2023-04-13,2612.3,2562.3,2616.3,2562.3,367.34M,1.95,Technology
2023-04-14,2599.1,2612.3,2619.5,2576.4,316.86M,-0.51,Technology
2023-04-17,2609.3,2599.1,2613.9,2588.4,326.04M,0.39,Technology
2023-04-18,2619.9,2609.3,2638.5,2608.4,346.30M,0.41,Technology
2023-04-19,2616.5,2619.9,2620.3,2594.5,339.12M,-0.13,Technology
2023-04-20,2596.7,2616.5,2623.0,2584.9,409.42M,-0.76,Technology
2023-04-21,2587.1,2596.7,2596.7,2570.4,370.95M,-0.37,Technology
2023-04-24,2576.1,2587.1,2590.0,2556.1,321.69M,-0.42,Technology
2023-04-25,2522.4,2576.1,2576.1,2522.4,410.36M,-2.09,Technology
2023-04-26,2566.1,2522.4,2592.1,2522.4,462.29M,1.73,Technology
2023-04-27,2621.8,2566.1,2623.4,2566.1,473.22M,2.17,Technology
