"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2021","2,715.2","2,677.8","2,724.9","2,677.8","356.59M","1.40%"
"09/21/2021","2,677.8","2,676.9","2,699.7","2,667.9","354.39M","0.03%"
"09/20/2021","2,676.9","2,727.7","2,727.7","2,641.6","513.23M","-1.86%"
"09/17/2021","2,727.7","2,769.7","2,769.7","2,723.3","680.60M","-1.52%"
"09/16/2021","2,769.7","2,767.9","2,772.9","2,742.0","339.48M","0.06%"
"09/15/2021","2,767.9","2,743.6","2,770.8","2,738.9","408.57M","0.89%"
"09/14/2021","2,743.6","2,747.4","2,765.1","2,737.5","404.38M","-0.14%"
"09/13/2021","2,747.4","2,746.4","2,775.1","2,730.3","407.03M","0.03%"
"09/10/2021","2,746.4","2,773.7","2,797.2","2,744.6","418.94M","-0.99%"
"09/09/2021","2,773.7","2,785.5","2,796.7","2,772.6","322.68M","-0.42%"
"09/08/2021","2,785.5","2,796.9","2,796.9","2,765.9","381.11M","-0.41%"
"09/07/2021","2,796.9","2,796.1","2,802.4","2,783.1","341.25M","0.03%"
"09/03/2021","2,796.1","2,785.4","2,803.0","2,782.8","317.75M","0.38%"
"09/02/2021","2,785.4","2,786.8","2,801.3","2,773.4","348.57M","-0.05%"
"09/01/2021","2,786.8","2,786.1","2,808.3","2,785.3","368.63M","0.03%"
"08/31/2021","2,786.1","2,801.9","2,803.6","2,782.2","431.19M","-0.56%"
"08/30/2021","2,801.9","2,771.7","2,804.7","2,771.7","363.95M","1.09%"
"08/27/2021","2,771.7","2,745.2","2,773.8","2,743.5","371.35M","0.97%"
"08/26/2021","2,745.2","2,762.4","2,764.4","2,743.3","363.10M","-0.62%"
"08/25/2021","2,762.4","2,763.9","2,778.1","2,758.3","439.45M","-0.05%"
"08/24/2021","2,763.9","2,767.4","2,774.0","2,762.1","358.13M","-0.13%"
"08/23/2021","2,767.4","2,732.6","2,771.5","2,732.6","440.98M","1.27%"
"08/20/2021","2,732.6","2,697.5","2,734.5","2,697.5","438.13M","1.30%"
"08/19/2021","2,697.5","2,671.1","2,707.4","2,654.1","517.94M","0.99%"
"08/18/2021","2,671.1","2,708.8","2,714.6","2,668.4","409.28M","-1.39%"
"08/17/2021","2,708.8","2,732.6","2,732.6","2,693.3","409.68M","-0.87%"
"08/16/2021","2,732.6","2,720.6","2,732.9","2,691.4","396.44M","0.44%"
"08/13/2021","2,720.6","2,705.9","2,720.8","2,705.2","372.40M","0.54%"
"08/12/2021","2,705.9","2,690.2","2,707.2","2,676.8","417.31M","0.58%"
"08/11/2021","2,690.2","2,689.5","2,704.1","2,676.6","382.91M","0.03%"
"08/10/2021","2,689.5","2,709.2","2,717.3","2,682.5","425.18M","-0.73%"
"08/09/2021","2,709.2","2,718.6","2,727.0","2,707.1","348.29M","-0.35%"
"08/06/2021","2,718.6","2,721.9","2,721.9","2,710.9","413.07M","-0.12%"
"08/05/2021","2,721.9","2,707.3","2,722.5","2,704.2","412.09M","0.54%"
"08/04/2021","2,707.3","2,702.0","2,713.7","2,691.2","559.24M","0.19%"
"08/03/2021","2,702.0","2,683.6","2,703.1","2,668.0","516.05M","0.69%"
"08/02/2021","2,683.6","2,693.6","2,710.4","2,681.1","451.86M","-0.37%"
"07/30/2021","2,693.6","2,695.8","2,696.8","2,679.4","440.59M","-0.08%"
"07/29/2021","2,695.8","2,683.0","2,704.9","2,681.7","476.04M","0.48%"
